loan_id,no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,cibil_score,residential_assets_value,commercial_assets_value,luxury_assets_value,bank_asset_value,loan_status,total_assets,loan_income_ratio,risk_category
1,2, Graduate, No,9600000,29900000,12,778,2400000,17600000,22700000,8000000, Approved,50700000,3.1145833333333335,Low Risk
2,0, Not Graduate, Yes,4100000,12200000,8,417,2700000,2200000,8800000,3300000, Rejected,17000000,2.975609756097561,High Risk
3,3, Graduate, No,9100000,29700000,20,506,7100000,4500000,33300000,12800000, Rejected,57700000,3.2637362637362637,High Risk
4,3, Graduate, No,8200000,30700000,8,467,18200000,3300000,23300000,7900000, Rejected,52700000,3.7439024390243905,High Risk
5,5, Not Graduate, Yes,9800000,24200000,20,382,12400000,8200000,29400000,5000000, Rejected,55000000,2.4693877551020407,High Risk
6,0, Graduate, Yes,4800000,13500000,10,319,6800000,8300000,13700000,5100000, Rejected,33900000,2.8125,High Risk
7,5, Graduate, No,8700000,33000000,4,678,22500000,14800000,29200000,4300000, Approved,70800000,3.793103448275862,Medium Risk
8,2, Graduate, Yes,5700000,15000000,20,382,13200000,5700000,11800000,6000000, Rejected,36700000,2.6315789473684212,High Risk
9,0, Graduate, Yes,800000,2200000,20,782,1300000,800000,2800000,600000, Approved,5500000,2.75,Low Risk
10,5, Not Graduate, No,1100000,4300000,10,388,3200000,1400000,3300000,1600000, Rejected,9500000,3.909090909090909,High Risk
11,4, Graduate, Yes,2900000,11200000,2,547,8100000,4700000,9500000,3100000, Approved,25400000,3.8620689655172415,High Risk
12,2, Not Graduate, Yes,6700000,22700000,18,538,15300000,5800000,20400000,6400000, Rejected,47900000,3.388059701492537,High Risk
13,3, Not Graduate, Yes,5000000,11600000,16,311,6400000,9600000,14600000,4300000, Rejected,34900000,2.32,High Risk
14,2, Graduate, Yes,9100000,31500000,14,679,10800000,16600000,20900000,5000000, Approved,53300000,3.4615384615384617,Medium Risk
15,1, Not Graduate, No,1900000,7400000,6,469,1900000,1200000,5900000,1900000, Rejected,10900000,3.8947368421052633,High Risk
16,5, Not Graduate, No,4700000,10700000,10,794,5700000,3900000,16400000,4400000, Approved,30400000,2.276595744680851,Low Risk
17,2, Graduate, Yes,500000,1600000,4,663,1300000,100000,1300000,700000, Approved,3400000,3.2,Medium Risk
18,4, Not Graduate, Yes,2900000,9400000,14,780,2900000,2800000,6700000,4300000, Approved,16700000,3.2413793103448274,Low Risk
19,2, Graduate, No,2700000,10300000,10,736,1000000,0,6200000,3300000, Approved,10500000,3.814814814814815,Medium Risk
20,5, Graduate, No,6300000,14600000,12,652,10300000,3500000,23500000,5900000, Approved,43200000,2.3174603174603177,Medium Risk
21,2, Graduate, No,5000000,19400000,12,315,9500000,1600000,18000000,6100000, Rejected,35200000,3.88,High Risk
22,4, Graduate, No,5800000,14000000,16,530,3800000,11300000,22200000,5400000, Rejected,42700000,2.413793103448276,High Risk
23,4, Graduate, Yes,6500000,25700000,18,311,13100000,1700000,19500000,8500000, Rejected,42800000,3.953846153846154,High Risk
24,0, Not Graduate, Yes,500000,1400000,2,551,900000,600000,1100000,300000, Approved,2900000,2.8,Medium Risk
25,0, Not Graduate, No,4900000,9800000,16,324,3800000,8700000,10000000,3300000, Rejected,25800000,2.0,High Risk
26,5, Not Graduate, No,3100000,9500000,20,514,7900000,3100000,6600000,2600000, Rejected,20200000,3.064516129032258,High Risk
27,4, Graduate, No,8200000,28100000,12,696,11500000,10600000,25300000,7200000, Approved,54600000,3.426829268292683,Medium Risk
28,4, Not Graduate, Yes,2400000,5600000,4,662,4500000,4200000,5400000,2500000, Approved,16600000,2.3333333333333335,Medium Risk
29,5, Not Graduate, Yes,7000000,24000000,6,336,2300000,11900000,27500000,9700000, Rejected,51400000,3.4285714285714284,High Risk
30,3, Not Graduate, Yes,9000000,31500000,10,850,21800000,12400000,33700000,8000000, Approved,75900000,3.5,Low Risk
31,2, Not Graduate, No,9800000,25300000,12,313,20200000,5200000,25500000,9300000, Rejected,60200000,2.5816326530612246,High Risk
32,2, Graduate, No,5700000,12000000,6,363,3600000,7400000,21700000,4300000, Rejected,37000000,2.1052631578947367,High Risk
33,1, Not Graduate, Yes,800000,1600000,10,436,700000,200000,2200000,1000000, Rejected,4100000,2.0,High Risk
34,5, Not Graduate, Yes,8400000,22000000,2,830,3800000,3900000,19900000,5400000, Approved,33000000,2.619047619047619,Low Risk
35,3, Graduate, No,4900000,11900000,8,612,9700000,1200000,19000000,5800000, Approved,35700000,2.4285714285714284,Medium Risk
36,2, Graduate, Yes,1700000,3400000,8,691,2700000,2800000,6000000,900000, Approved,12400000,2.0,Medium Risk
37,3, Not Graduate, No,1600000,6200000,18,636,3400000,700000,5300000,1400000, Approved,10800000,3.875,Medium Risk
38,5, Graduate, Yes,8000000,27200000,6,348,6400000,300000,16700000,7100000, Rejected,30500000,3.4,High Risk
39,5, Graduate, No,3600000,7700000,16,830,7000000,1300000,10000000,2900000, Approved,21200000,2.138888888888889,Low Risk
40,3, Not Graduate, Yes,1500000,5100000,6,352,100000,200000,5600000,900000, Rejected,6800000,3.4,High Risk
41,1, Graduate, No,7800000,18100000,2,712,8600000,11200000,21700000,9000000, Approved,50500000,2.3205128205128207,Medium Risk
42,2, Not Graduate, No,9100000,24900000,16,822,22300000,12100000,31000000,5200000, Approved,70600000,2.7362637362637363,Low Risk
43,3, Graduate, No,1400000,3400000,6,540,200000,1500000,3900000,800000, Rejected,6400000,2.4285714285714284,High Risk
44,2, Graduate, Yes,800000,2300000,12,342,2200000,1300000,1800000,800000, Rejected,6100000,2.875,High Risk
45,5, Graduate, No,6500000,13400000,18,787,18200000,300000,16200000,5400000, Approved,40100000,2.0615384615384613,Low Risk
46,4, Graduate, No,8000000,27800000,16,331,13000000,6300000,21400000,10900000, Rejected,51600000,3.475,High Risk
47,3, Not Graduate, Yes,4200000,14600000,6,679,2400000,6900000,8700000,4900000, Approved,22900000,3.4761904761904763,Medium Risk
48,1, Graduate, Yes,4900000,19100000,14,677,5400000,9100000,17700000,6500000, Approved,38700000,3.8979591836734695,Medium Risk
49,3, Not Graduate, No,5500000,20500000,12,634,800000,8600000,18500000,8200000, Approved,36100000,3.727272727272727,Medium Risk
50,1, Not Graduate, Yes,9500000,19100000,16,662,100000,10500000,37700000,11700000, Approved,60000000,2.0105263157894737,Medium Risk
51,4, Graduate, No,7300000,25400000,16,502,500000,1800000,20500000,10500000, Rejected,33300000,3.4794520547945207,High Risk
52,2, Graduate, No,8700000,24700000,10,435,6800000,3500000,21800000,11300000, Rejected,43400000,2.839080459770115,High Risk
53,5, Not Graduate, No,3800000,7600000,4,689,8700000,100000,9300000,3400000, Approved,21500000,2.0,Medium Risk
54,1, Not Graduate, Yes,8400000,23000000,12,657,15400000,14800000,31900000,8200000, Approved,70300000,2.738095238095238,Medium Risk
55,2, Graduate, Yes,5100000,19700000,20,590,7400000,9300000,19400000,3400000, Approved,39500000,3.8627450980392157,Medium Risk
56,5, Not Graduate, No,6700000,24500000,12,818,1200000,5600000,16300000,6200000, Approved,29300000,3.656716417910448,Low Risk
